Initiator,Receiver
5,2
14,5
4,8
4,9
2,10
17,12
5,13
5,14
5,15
5,17
16,1
3,2
15,9
4,9
9,12
11,12
2,12
14,2
10,2
4,2
16,3
13,9
9,12
12,15
8,1
8,2
8,3
4,5
1,6
15,7
17,7
8,9
1,9
13,10
15,11
2,11
13,12
3,16
1,17
13,14
7,5
2,5
15,12
14,5
1,11
2,13
15,17
4,3
8,13
13,16
15,2
15,12
5,3
13,5
5,13
12,14
3,5
6,9
13,9
4,13
13,14
9,15
5,17
8,5
4,8
4,9
15,12
6,14
1,14
7,15
2,16
15,11
1,11
9,12
6,13
4,6
4,7
4,13
4,15
15,2
3,4
15,5
1,10
12,1
3,2
3,2
2,3
5,3
8,5
4,5
2,10
3,15
4,15
4,5
4,13
6,14
8,17
8,2
13,3
7,8
8,2
15,3
7,6
3,13
3,5
8,1
5,12
4,12
4,16
8,5
15,6
8,17
15,1
9,2
15,2
2,4
8,5
4,7
15,9
5,15
2,15
14,2
14,3
4,11
3,12
4,17
15,12
10,2
6,8
5,9
15,6
11,8
8,15
8,1
8,1
16,2
15,2
4,5
11,8
17,11
9,1
1,2
5,3
9,5
8,6
6,11
9,12
3,15
8,1
8,2
14,2
8,4
13,6
14,6
3,6
15,11
1,2
15,6
4,5
1,6
8,6
2,9
7,11
2,14
11,1
7,11
5,7
9,10
3,17
4,7
17,11
3,1
8,1
8,1
15,6
3,11
3,17
15,2
8,5
1,11
5,16
1,11
15,11
15,2
13,6
2,6
9,7
6,7
1,11
15,12
15,17
10,5
8,12
15,13
3,15
14,3
1,6
4,15
11,6
17,11
1,16
3,17
3,2
7,2
15,6
17,6
1,6
7,15
1,7
11,7
2,17
8,2
4,3
4,5
7,6
3,6
2,7
14,17
17,2
17,7
5,17
8,5
15,11
15,3
17,7
6,11
6,14
7,2
1,4
3,6
2,7
15,7
1,8
5,16
3,17
